method,sample_id,seed,budget_fraction,selected_count,pressure_field_relative_l2
uniform,2067,8,0.75,8453,0.007439691914398112
uniform,1845,6,0.375,4227,0.026461587592556103
uniform,1845,6,0.5,5636,0.02332782125819935
uniform,1845,6,0.75,8453,0.011199789265266212
uniform,1845,7,0.375,4227,0.01738582841923011
uniform,1845,7,0.5,5636,0.015883279229342854
uniform,1845,7,0.75,8453,0.010282760341311223
uniform,1845,8,0.375,4227,0.01828623389134372
uniform,1845,8,0.5,5636,0.01603603580581624
uniform,1845,8,0.75,8453,0.011852651074163535
uniform,1426,6,0.375,4227,0.009568845950247892
uniform,1426,6,0.5,5636,0.010442872053558908
uniform,1426,6,0.75,8453,0.007439829268101956
uniform,1426,7,0.375,4227,0.010807997656684613
uniform,1426,7,0.5,5636,0.01058192348715409
uniform,1426,7,0.75,8453,0.006332903117655413
uniform,1426,8,0.375,4227,0.009372421369866575
uniform,1426,8,0.5,5636,0.009111979772784764
uniform,1426,8,0.75,8453,0.006639612910403688
uniform,1756,6,0.375,4227,0.017308103828156635
uniform,1756,6,0.5,5636,0.012374642128229587
uniform,1756,6,0.75,8453,0.0060005453007986416
uniform,1756,7,0.375,4227,0.01710582318441994
uniform,1756,7,0.5,5636,0.011354756253192912
uniform,1756,7,0.75,8453,0.006402475270946991
uniform,1756,8,0.375,4227,0.020408175264611386
uniform,1756,8,0.5,5636,0.009555379235405647
uniform,1756,8,0.75,8453,0.006083234347851695
uniform,1919,6,0.375,4227,0.010922132135121675
uniform,1919,6,0.5,5636,0.00879319675655185
uniform,1919,6,0.75,8453,0.005442423279540533
uniform,1919,7,0.375,4227,0.011050578335136913
uniform,1919,7,0.5,5636,0.008401913404436103
uniform,1919,7,0.75,8453,0.00520071455011391
uniform,1919,8,0.375,4227,0.009153164057267018
uniform,1919,8,0.5,5636,0.009887512721401969
uniform,1919,8,0.75,8453,0.00485906546952557
uniform,1684,6,0.375,4227,0.013049607496808485
uniform,1684,6,0.5,5636,0.009723190841856496
uniform,1684,6,0.75,8453,0.007268102891342447
uniform,1684,7,0.375,4227,0.010094482177927322
uniform,1684,7,0.5,5636,0.00802865515750017
uniform,1684,7,0.75,8453,0.006125264308748851
uniform,1684,8,0.375,4227,0.010747575572332257
uniform,1684,8,0.5,5636,0.008871500238498106
uniform,1684,8,0.75,8453,0.008776759396522059
uniform,1581,6,0.375,4227,0.008000572749044753
uniform,1581,6,0.5,5636,0.006754283207280441
uniform,1581,6,0.75,8453,0.003738987695609573
uniform,1581,7,0.375,4227,0.009933117381703487
uniform,1581,7,0.5,5636,0.0073275091795858465
uniform,1581,7,0.75,8453,0.004278021490201725
uniform,1581,8,0.375,4227,0.011632629342873405
uniform,1581,8,0.5,5636,0.0052339226162583866
uniform,1581,8,0.75,8453,0.003982078059776562
uniform,2425,6,0.375,4227,0.023370043138761218
uniform,2425,6,0.5,5636,0.0186809865388866
uniform,2425,6,0.75,8453,0.01092747520579824
uniform,2425,7,0.375,4227,0.011904075129465804
uniform,2425,7,0.5,5636,0.011222495535448407
uniform,2425,7,0.75,8453,0.0074422068835630125
uniform,2425,8,0.375,4227,0.020236720415028542
uniform,2425,8,0.5,5636,0.015595329249519733
uniform,2425,8,0.75,8453,0.00992802224541466
uniform,2265,6,0.375,4227,0.006179769905104865
uniform,2265,6,0.5,5636,0.004230800397743655
uniform,2265,6,0.75,8453,0.0029696729943530335
uniform,2265,7,0.375,4227,0.008546723066025408
uniform,2265,7,0.5,5636,0.0053914292316831975
uniform,2265,7,0.75,8453,0.003044936168028112
uniform,2265,8,0.375,4227,0.0055441549410611465
uniform,2265,8,0.5,5636,0.004079416761281146
uniform,2265,8,0.75,8453,0.0031999469495508407
uniform,1661,6,0.375,4227,0.01869697921797684
uniform,1661,6,0.5,5636,0.009507110680227878
uniform,1661,6,0.75,8453,0.007847231433306234
uniform,1661,7,0.375,4227,0.011541426024723033
uniform,1661,7,0.5,5636,0.010623633913256774
uniform,1661,7,0.75,8453,0.009141711016945718
uniform,1661,8,0.375,4227,0.01543321342103629
uniform,1661,8,0.5,5636,0.00903520173481002
uniform,1661,8,0.75,8453,0.009595405596183982
uniform,2031,6,0.375,4227,0.011015248489050658
uniform,2031,6,0.5,5636,0.00785376449986498
uniform,2031,6,0.75,8453,0.005539781863008643
uniform,2031,7,0.375,4227,0.008741844726164882
uniform,2031,7,0.5,5636,0.008994777265007836
