benchmark,budget,method,mode,metric,cases,mean,case_std
shapenet_car,0.75,uniform,previous_runtime,velocity_rel_l2,9,0.04392400118448942,0.005978848307872419
shapenet_car,0.75,uniform,previous_runtime,pressure_rel_l2,9,0.11326101203747212,0.02253354994365029
shapenet_car,0.75,uniform,previous_runtime,field_error,9,0.1005545072032255,0.010076128333860054
shapenet_car,0.75,pi,original,velocity_rel_l2,9,0.03158746499404317,0.013191061946143723
shapenet_car,0.75,pi,original,pressure_rel_l2,9,0.07371283908046908,0.014396711111317068
shapenet_car,0.75,pi,original,field_error,9,0.0684438845342777,0.012661983507933015
shapenet_car,0.75,pi,fast,velocity_rel_l2,9,0.03158746499404317,0.013191061946143723
shapenet_car,0.75,pi,fast,pressure_rel_l2,9,0.07371283908046908,0.014396711111317068
shapenet_car,0.75,pi,fast,field_error,9,0.0684438845342777,0.012661983507933015
shapenet_car,0.75,pi,previous_runtime,velocity_rel_l2,9,0.03158746499404317,0.013191061946143723
shapenet_car,0.75,pi,previous_runtime,pressure_rel_l2,9,0.07371283908046908,0.014396711111317068
shapenet_car,0.75,pi,previous_runtime,field_error,9,0.0684438845342777,0.012661983507933015
shapenet_car,0.75,cpg,original,velocity_rel_l2,9,0.022587091286324454,0.002961803128618078
shapenet_car,0.75,cpg,original,pressure_rel_l2,9,0.071275398346187,0.020459518642806318
shapenet_car,0.75,cpg,original,field_error,9,0.05822479045941795,0.010682609649002079
shapenet_car,0.75,cpg,fast,velocity_rel_l2,9,0.022587091286324454,0.002961803128618078
shapenet_car,0.75,cpg,fast,pressure_rel_l2,9,0.071275398346187,0.020459518642806318
shapenet_car,0.75,cpg,fast,field_error,9,0.05822479045941795,0.010682609649002079
shapenet_car,0.75,cpg,previous_runtime,velocity_rel_l2,9,0.02284784880038975,0.003344597867308551
shapenet_car,0.75,cpg,previous_runtime,pressure_rel_l2,9,0.07165170903185564,0.020194225984557918
shapenet_car,0.75,cpg,previous_runtime,field_error,9,0.05867370331631757,0.01048881078689131
shapenet_car,0.75,ca,original,velocity_rel_l2,9,0.022593310865695444,0.0029936038223156466
shapenet_car,0.75,ca,original,pressure_rel_l2,9,0.07124697896710422,0.020470840060082065
shapenet_car,0.75,ca,original,field_error,9,0.05821680034924754,0.01063970884695342
shapenet_car,0.75,ca,fast,velocity_rel_l2,9,0.022593310865695444,0.0029936038223156466
shapenet_car,0.75,ca,fast,pressure_rel_l2,9,0.07124697896710422,0.020470840060082065
shapenet_car,0.75,ca,fast,field_error,9,0.05821680034924754,0.01063970884695342
shapenet_car,0.75,ca,previous_runtime,velocity_rel_l2,9,0.022827215363271876,0.003324170819033321
shapenet_car,0.75,ca,previous_runtime,pressure_rel_l2,9,0.07167049083631026,0.02016962102877582
shapenet_car,0.75,ca,previous_runtime,field_error,9,0.058662460781427006,0.010484887601665748
shapenet_car,1.0,full,original,velocity_rel_l2,3,0.022597441139320534,0.012595143712015302
shapenet_car,1.0,full,original,pressure_rel_l2,3,0.07167009512583415,0.018833742943152234
shapenet_car,1.0,full,original,field_error,3,0.05843248715003332,0.012840027838564612
shapenet_car,1.0,full,fast,velocity_rel_l2,3,0.022597441139320534,0.012595143712015302
shapenet_car,1.0,full,fast,pressure_rel_l2,3,0.07167009512583415,0.018833742943152234
shapenet_car,1.0,full,fast,field_error,3,0.05843248715003332,0.012840027838564612
shapenet_car,1.0,full,previous_runtime,velocity_rel_l2,3,0.022597441139320534,0.012595143712015302
shapenet_car,1.0,full,previous_runtime,pressure_rel_l2,3,0.07167009512583415,0.018833742943152234
shapenet_car,1.0,full,previous_runtime,field_error,3,0.05843248715003332,0.012840027838564612
