benchmark,budget,method,component,n,mean_ms,case_std_ms
elasticity,0.75,cpg,adapter_increment_ms,9,0.6579268309805129,0.023853347112710116
elasticity,0.75,cpg,case_preparation_ms,9,0.0898299945725335,0.003718593243426328
elasticity,0.75,cpg,reported_shared_input_preparation_ms,9,41.90188232395384,3.1282118177066596
elasticity,0.75,cpg,gpu_runtime_and_reconstruction_preparation_ms,9,3.5438305801815457,0.3300925388270558
elasticity,0.75,cpg,first_sampled_call_ms,9,69.7739256752862,74.89133236884548
elasticity,0.75,cpg,graph_setup_ms,9,67.16062873601913,74.85407936517404
elasticity,0.75,cpg,first_full_original_after_sampled_ms,9,8.00484750005934,0.08231846575574522
elasticity,0.75,cpg,first_full_fast_after_sampled_ms,9,7.876815895239512,0.17299031399713755
elasticity,0.75,ca,adapter_increment_ms,9,0.17245279418097603,0.011402651600900735
elasticity,0.75,ca,case_preparation_ms,9,0.11672410700056288,0.008417391413346121
elasticity,0.75,ca,reported_shared_input_preparation_ms,9,41.46746463245816,3.1294658178911674
elasticity,0.75,ca,gpu_runtime_and_reconstruction_preparation_ms,9,2.3947879672050476,0.05114742575110448
elasticity,0.75,ca,first_sampled_call_ms,9,35.433641738361786,1.2334650199760102
elasticity,0.75,ca,graph_setup_ms,9,33.46697241067886,1.2161804824624878
elasticity,0.75,ca,first_full_original_after_sampled_ms,9,7.314089271757338,0.07191116355274789
elasticity,0.75,ca,first_full_fast_after_sampled_ms,9,7.157408528857761,0.07342362399318542
elasticity,1.0,full,adapter_increment_ms,3,0.10202576716740926,0.016397135696403355
elasticity,1.0,full,case_preparation_ms,3,1.4791935682296753,0.4050433713144861
elasticity,1.0,full,reported_shared_input_preparation_ms,3,42.11382816235224,1.3713642348934592
elasticity,1.0,full,gpu_runtime_and_reconstruction_preparation_ms,3,0.03924469153086344,0.00511392315421168
elasticity,1.0,full,first_sampled_call_ms,3,22.837368150552113,1.2177404909914433
elasticity,1.0,full,graph_setup_ms,3,21.340360244115193,1.1696041836757793
elasticity,1.0,full,first_full_original_after_sampled_ms,3,1.2820760409037273,0.013050181273855698
elasticity,1.0,full,first_full_fast_after_sampled_ms,3,1.257568597793579,0.012389031887513365
darcy,0.375,uniform,adapter_increment_ms,9,97.42564459641774,2.7010573830979077
darcy,0.375,uniform,case_preparation_ms,9,26.41889949639638,0.17105697857706176
darcy,0.375,uniform,reported_shared_input_preparation_ms,9,122.79747674862544,2.8049074807663232
darcy,0.375,uniform,gpu_runtime_and_reconstruction_preparation_ms,9,103.37049762407939,227.12115507581692
darcy,0.375,uniform,first_sampled_call_ms,9,23.79026595089171,4.242637380744367
darcy,0.375,uniform,graph_setup_ms,9,26.696383125252193,4.241845038813193
darcy,0.375,uniform,first_full_original_after_sampled_ms,9,2.7556460764673023,0.023684031392152128
darcy,0.375,uniform,first_full_fast_after_sampled_ms,9,2.5115484992663064,0.014191474689739999
darcy,0.375,pi,adapter_increment_ms,9,0.02525912390814887,0.0022323715556012867
darcy,0.375,pi,case_preparation_ms,9,27.30668667289946,0.24374261788272378
darcy,0.375,pi,reported_shared_input_preparation_ms,9,123.68920611010657,2.9269828669707176
darcy,0.375,pi,gpu_runtime_and_reconstruction_preparation_ms,9,32.782631615797676,16.383863997746445
darcy,0.375,pi,first_sampled_call_ms,9,22.543269726965164,0.2827544956107782
darcy,0.375,pi,graph_setup_ms,9,25.557546979851193,0.3002997107041485
darcy,0.375,pi,first_full_original_after_sampled_ms,9,2.8394502070215015,0.026265709506806078
darcy,0.375,pi,first_full_fast_after_sampled_ms,9,2.604372799396515,0.025682339364634106
darcy,0.375,cpg,adapter_increment_ms,9,4.782398541768392,0.9511028249853575
darcy,0.375,cpg,case_preparation_ms,9,0.12774268786112467,0.0069804266548090434
darcy,0.375,cpg,reported_shared_input_preparation_ms,9,101.08782516585455,3.44227649981709
