benchmark,budget,method,mode,cases,mean_ms,case_std_ms,repeat_std_ms,repeats_per_case_min,repeats_per_case_max,paired_ratio_to_uniform_mean,paired_ratio_to_uniform_std
darcy,0.5,ca,sampled,9,3.0017088684770794,0.015428484386749472,0.006694141855704573,20,20,1.3570151439056946,0.006802303485177854
darcy,0.5,ca,original,9,36.5075859758589,0.5251879548499214,0.17073907844104302,5,5,15.694497518588706,0.19401861270831602
darcy,0.5,ca,fast,9,3.5217218928866916,0.012792500174705507,0.006799073579270377,5,5,1.5607395513238498,0.007987543855170963
darcy,0.75,uniform,sampled,9,2.9068859501017466,0.0045360079338282455,0.009931777633807265,20,20,1.0,0.0
darcy,0.75,uniform,original,9,3.0255304442511664,0.011421044049639575,0.055507385526790944,5,5,1.0,0.0
darcy,0.75,uniform,fast,9,2.950196795993381,0.005156002574749651,0.04877100558686072,5,5,1.0,0.0
darcy,0.75,pi,sampled,9,3.030242481165462,0.0042925568440106724,0.00860028928646025,20,20,1.0424370959292668,0.0014742899028795974
darcy,0.75,pi,original,9,3.1305180655585394,0.008830390985044284,0.05582248052889478,5,5,1.0347057023709485,0.0022810774000513036
darcy,0.75,pi,fast,9,3.055155442820655,0.004374422379277092,0.00579119895633422,5,5,1.0355786093707735,0.0017542249040473131
darcy,0.75,cpg,sampled,9,4.536452682481872,0.013898634337980054,0.017350955729349374,20,20,1.5605900542571487,0.004743949200985834
darcy,0.75,cpg,original,9,59.416318767600586,0.6397826679673942,0.4170139590560325,5,5,19.63872450301146,0.23983247937639476
darcy,0.75,cpg,fast,9,5.05529244740804,0.015839890455056637,0.012026509374849097,5,5,1.7135419279159596,0.0033482484761162092
darcy,0.75,ca,sampled,9,3.7380243755049176,0.00601599223673798,0.011116453777296703,20,20,1.2859220327144048,0.002135131115219855
darcy,0.75,ca,original,9,58.87244873576694,0.7168598244739205,0.489792333930538,5,5,19.45864207220767,0.2336854997882114
darcy,0.75,ca,fast,9,4.2539334959454,0.00572196295730918,0.007971461568111614,5,5,1.441917016794696,0.0018530794592977811
darcy,1.0,full,sampled,3,3.524851550658544,0.0013685236263391472,0.006085044928707369,20,20,1.0,0.0
darcy,1.0,full,original,3,3.524851550658544,0.0013685236263391472,0.006085044928707369,20,20,1.0,0.0
darcy,1.0,full,fast,3,3.524851550658544,0.0013685236263391472,0.006085044928707369,20,20,1.0,0.0
plasticity2d,0.375,uniform,sampled,9,1.2591010580460231,0.0024900614494325324,0.011699121231943936,20,20,1.0,0.0
plasticity2d,0.375,uniform,original,9,1.448835598097907,0.02711441614483511,0.07222283622724071,5,5,1.0,0.0
plasticity2d,0.375,uniform,fast,9,1.409032940864563,0.008896149169391441,0.038704317728780406,5,5,1.0,0.0
plasticity2d,0.375,pi,sampled,9,1.289454350868861,0.002860613101550353,0.005674481034957125,20,20,1.0241081712522233,0.0018703458858301927
plasticity2d,0.375,pi,original,9,1.4773946669366624,0.03734747317108616,0.08663700573206445,5,5,1.0199366068265354,0.028377656095367933
plasticity2d,0.375,pi,fast,9,1.433045830991533,0.01632595208455683,0.037384053023092265,5,5,1.0170650276580886,0.012008927860056529
plasticity2d,0.375,cpg,sampled,9,2.516100721226798,0.004861761841510877,0.014499682228347539,20,20,1.9983368549045208,0.005043696325457971
plasticity2d,0.375,cpg,original,9,14.854287273354,0.3470694561658086,0.4892973365154803,5,5,10.254411288554502,0.25081631201855215
plasticity2d,0.375,cpg,fast,9,3.1400789817174277,0.18797668933101294,0.08424598670324429,5,5,2.228474215458277,0.13120266032566177
plasticity2d,0.375,ca,sampled,9,1.6569616480006113,0.0029987107400116925,0.00498663309732765,20,20,1.3159937270845676,0.0040500836915335426
plasticity2d,0.375,ca,original,9,13.838264677259657,0.09087854987775706,0.12694660191196713,5,5,9.553337848033623,0.12659101786247504
plasticity2d,0.375,ca,fast,9,2.3317923148473105,0.06293715621376468,0.04037766437805139,5,5,1.654925747329209,0.044911536002529714
plasticity2d,0.5,uniform,sampled,9,1.4300167560577393,0.001601517063054045,0.009022899079389116,20,20,1.0,0.0
plasticity2d,0.5,uniform,original,9,1.6252219676971436,0.04117277622187334,0.10268274524280736,5,5,1.0,0.0
plasticity2d,0.5,uniform,fast,9,1.5617749757236905,0.004014642817889468,0.0359313923152319,5,5,1.0,0.0
plasticity2d,0.5,pi,sampled,9,1.4697220176458359,0.002064835773754419,0.004122999427807729,20,20,1.0277656485137596,0.0009441321781595866
plasticity2d,0.5,pi,original,9,1.6373715466923184,0.022057502647758777,0.05527033502166083,5,5,1.0078597639268043,0.02004195858757771
plasticity2d,0.5,pi,fast,9,1.5907678339216444,0.0022374150320872287,0.01029396738668213,5,5,1.0185679961195266,0.0020640059851446927
plasticity2d,0.5,cpg,sampled,9,2.7157262795501285,0.007402990340312797,0.01427944515625858,20,20,1.8990873529330703,0.004863505495248525
plasticity2d,0.5,cpg,original,9,19.067025184631348,0.36789441779296467,0.1947723503998738,5,5,11.735882286329472,0.2616038992394657
plasticity2d,0.5,cpg,fast,9,3.3343965808550515,0.10352971541423618,0.18673640209417577,5,5,2.1349833071636537,0.06533453085338149
plasticity2d,0.5,ca,sampled,9,1.8329573174317677,0.0036558880416951087,0.007530874689793202,20,20,1.2817758570378766,0.003437665956708095
plasticity2d,0.5,ca,original,9,18.26032880279753,0.1107578542461038,0.145646929314458,5,5,11.241549575894853,0.27296122984734267
plasticity2d,0.5,ca,fast,9,2.4012951387299433,0.09112722229105753,0.1330653541921421,5,5,1.5376468311022167,0.06125056220013363
plasticity2d,0.75,uniform,sampled,9,1.7082622067795858,0.06177746780653683,0.14411852905542216,20,20,1.0,0.0
plasticity2d,0.75,uniform,original,9,1.8607154488563538,0.012731488575051518,0.05331519063482605,5,5,1.0,0.0
plasticity2d,0.75,uniform,fast,9,1.809180776278178,0.005945291242552896,0.04626618707259607,5,5,1.0,0.0
plasticity2d,0.75,pi,sampled,9,1.7718645847505994,0.07055441455294265,0.19127390819656256,20,20,1.0371218973502816,0.004254235865258851
plasticity2d,0.75,pi,original,9,1.9060396485858493,0.015159994150511875,0.054420393325004875,5,5,1.0243539704764728,0.0026124566549520587
plasticity2d,0.75,pi,fast,9,1.8546491861343384,0.005583553682396524,0.012047393382209703,5,5,1.0251334793701372,0.0012241060463585814
plasticity2d,0.75,cpg,sampled,9,3.048598517974218,0.06466124961241176,0.16948338877950675,20,20,1.7854203534141904,0.025347743462988948
plasticity2d,0.75,cpg,original,9,28.439432713720535,0.4741471099991394,0.46253991501806296,5,5,15.284626071157529,0.2667188168867025
plasticity2d,0.75,cpg,fast,9,3.5047726498709784,0.032449536558092774,0.05981785534942303,5,5,1.9371942830030282,0.013701273033255683
plasticity2d,0.75,ca,sampled,9,2.151674611700906,0.07825471611157418,0.1754512027569294,20,20,1.2595661821101187,0.003867343693895355
plasticity2d,0.75,ca,original,9,27.528477211793263,0.44310177909629944,0.5149124387014987,5,5,14.794709732680015,0.22696215807373496
plasticity2d,0.75,ca,fast,9,2.5858523117171393,0.007335660816289727,0.013346079582792365,5,5,1.4293008442845687,0.0038064405026540125
plasticity2d,1.0,full,sampled,3,2.048591027657191,0.006302723704643533,0.012833162734720918,20,20,1.0,0.0
plasticity2d,1.0,full,original,3,2.048591027657191,0.006302723704643533,0.012833162734720918,20,20,1.0,0.0
plasticity2d,1.0,full,fast,3,2.048591027657191,0.006302723704643533,0.012833162734720918,20,20,1.0,0.0
airfoil2d,0.375,uniform,sampled,9,2.4398040854268603,0.0037692950264739417,0.00794610381831242,20,20,1.0,0.0
airfoil2d,0.375,uniform,original,9,2.5738418102264404,0.007640385751931837,0.06276274647985562,5,5,1.0,0.0
airfoil2d,0.375,uniform,fast,9,2.4965888924068875,0.00785805678812023,0.05596923152253119,5,5,1.0,0.0
airfoil2d,0.375,pi,sampled,9,2.5431664453612433,0.004181125247010703,0.005489105308766249,20,20,1.042365556445732,0.001260365743196202
airfoil2d,0.375,pi,original,9,2.656393746534983,0.006716941095144821,0.058813837565935154,5,5,1.0320768589757099,0.0023198394769502915
airfoil2d,0.375,pi,fast,9,2.5781249006589255,0.004647671041694134,0.013069610614954713,5,5,1.0326638560925405,0.002064503925901817
airfoil2d,0.375,cpg,sampled,9,4.422063711616728,0.0076307901629281425,0.007403223573497863,20,20,1.8124681673808627,0.0027992728469417366
airfoil2d,0.375,cpg,original,9,49.322698513666786,0.8888098529280819,1.2104770071673527,5,5,19.162992617147392,0.3359014319550464
airfoil2d,0.375,cpg,fast,9,5.3752849499384565,0.13003449571684714,0.07039980828428634,5,5,2.153049619993155,0.051524305018850136
airfoil2d,0.375,ca,sampled,9,3.1146647615565195,0.007417410078000811,0.00783009402177108,20,20,1.2766044528217835,0.0023104165968247147
airfoil2d,0.375,ca,original,9,47.78320110506482,0.6036421921822582,0.5912509011037411,5,5,18.56481634639105,0.2175122034341191
airfoil2d,0.375,ca,fast,9,3.976369400819143,0.13330302979144754,0.031558367837987066,5,5,1.5926630350768036,0.05110564128693195
airfoil2d,0.5,uniform,sampled,9,3.049412162767516,0.012565854820675095,0.024760181200715263,20,20,1.0,0.0
airfoil2d,0.5,uniform,original,9,3.1748392515712314,0.01157930314828046,0.060559352495578526,5,5,1.0,0.0
